INFO  - 2013-11-05 21:56:52.585; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-11-05 21:56:52.629; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/xcv58/solr-4.5.1/example/contexts at interval 0
INFO  - 2013-11-05 21:56:52.639; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/xcv58/solr-4.5.1/example/contexts/solr-jetty-context.xml
INFO  - 2013-11-05 21:56:52.737; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/xcv58/solr-4.5.1/example/webapps/solr.war!/ to /Users/xcv58/solr-4.5.1/example/solr-webapp/webapp
INFO  - 2013-11-05 21:56:54.638; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-11-05 21:56:54.705; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-11-05 21:56:54.735; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-11-05 21:56:54.736; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-11-05 21:56:54.738; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-11-05 21:56:54.939; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/xcv58/solr-4.5.1/example/solr/solr.xml
INFO  - 2013-11-05 21:56:55.256; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-11-05 21:56:55.269; org.apache.solr.core.CoreContainer; New CoreContainer 166488400
INFO  - 2013-11-05 21:56:55.270; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-11-05 21:56:55.325; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-11-05 21:56:55.325; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-11-05 21:56:55.326; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-11-05 21:56:55.329; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-11-05 21:56:55.330; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-11-05 21:56:55.330; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-11-05 21:56:55.330; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-11-05 21:56:55.331; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-11-05 21:56:55.331; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
